id	nom	typeLibelle	typeCode	rangChallenges	milliardaireForbes	mediaType	mediaPeriodicite	mediaEchelle	commentaire	x	y	theme
241	Famille Baylet	Personne physique	1									4
242	Groupe La Dépêche	Personne morale	2									4
243	La Dépêche du midi	Média	3			Régional	Quotidien	Régional				4
244	Le Petit Bleu	Média	3			Régional	Quotidien	Régional				4
245	La Nouvelle République des Pyrénées	Média	3			Régional	Quotidien	Régional				4
246	Le Villefranchois	Média	3			Régional	Hebdomadaire	Régional				4
247	La Gazette du Comminges	Média	3			Régional	Hebdomadaire	Régional				4
248	Les Journaux du midi	Personne morale	2									4
249	Midi libre	Média	3			Régional	Quotidien	Régional				4
250	L’Indépendant	Média	3			Régional	Quotidien	Régional				4
251	Centre Presse Aveyron	Média	3			Régional	Quotidien	Régional				4
252	Famille Lemoine	Personne physique	1									4
253	Groupe Sud Ouest	Personne morale	2									4
254	Sud Ouest	Média	3			Régional	Quotidien	Régional				4
255	Charente Libre	Média	3			Régional	Quotidien	Régional				4
256	Dordogne Libre	Média	3			Régional	Quotidien	Régional				4
257	Haute Saintonge	Média	3			Régional	Hebdomadaire	Régional				4
258	Haute Gironde	Média	3			Régional	Hebdomadaire	Régional				4
259	Le Résistant	Média	3			Régional	Hebdomadaire	Régional				4
260	L’Hebdo de Charente-Maritime	Média	3			Régional	Hebdomadaire	Régional				4
261	La Dépêche du Bassin	Média	3			Régional	Hebdomadaire	Régional				4
262	Le Journal du Médoc	Média	3			Régional	Hebdomadaire	Régional				4
263	Pyrénées Presse	Personne morale	2									4
264	La République des Pyrénées	Média	3			Régional	Quotidien	Régional				4
265	L’Eclair	Média	3			Régional	Quotidien	Régional				4
266	Édouard Coudurier	Personne physique	1									4
267	Groupe Télégramme	Personne morale	2									4
268	Le Télégramme	Média	3			Régional	Quotidien	Régional				4
269	Le Poher	Média	3			Régional	Quotidien	Régional				4
270	Tébéo	Média	3			Régional		Régional	Télévision			4
271	Tébésud	Média	3			Régional		Régional	Télévision			4
272	Le Mensuel de Rennes	Média	3			Régional	Mensuel	Régional				4
273	Sept Jours à Brest	Média	3			Régional	Hebdomadaire	Régional				4
274	Le Journal des entreprises	Média	3			Régional	Mensuel	Régional				4
275	Bretagne magazine	Média	3			Régional	Hebdomadaire	Régional				4
276	Bernard Tapie	Personne physique	1									4
277	Nethys	Personne morale	2									4
278	Publifin	Personne morale	2									4
279	Province de Liège	État	4									4
280	Groupe La Provence	Personne morale	2									4
281	Nice-Matin	Média	3			Régional	Quotidien	Régional				4
282	Corse Matin	Média	3			Régional	Quotidien	Régional				4
283	La Provence	Média	3			Régional	Quotidien	Régional				4
284	Jean-Louis Louvel	Personne physique	1									4
285	Société Normande d’Information et de Communication	Personne morale	2									4
286	Paris-Normandie	Média	3			Régional	Quotidien	Régional				4
287	Havre Libre	Média	3			Régional	Quotidien	Régional				4
288	Le Progrès de Fécamp	Média	3			Régional	Quotidien	Régional				4
289	Liberté Dimanche	Média	3			Régional	Hebdomadaire	Régional				4
290	Havre Dimanche	Média	3			Régional	Hebdomadaire	Régional				4
291	Normandie Dimanche	Média	3			Régional	Hebdomadaire	Régional				4
292	Philippe Hersant	Personne physique	1									4
293	Éditions Suisses Holding	Personne morale	2									4
294	Groupe Hersant Média	Personne morale	2									4
295	Groupe Filanosa	Personne morale	2									4
296	Rhône Média	Personne morale	2									4
297	La Côte (Nyon)	Média	3			Suisse						4
298	L’Express (Neuchâtel)	Média	3			Suisse						4
299	L’Impartial (La Chaux-de-Fonds)	Média	3			Suisse						4
300	Le Nouvelliste	Média	3			Suisse						4
301	La Gazette de Martigny	Média	3			Suisse						4
302	Le Journal de Sierre	Média	3			Suisse						4
303	France Antilles	Média	3			Régional	Quotidien	Régional				4
304	France Guyane	Média	3			Régional	Quotidien	Régional				4
305	Abdoul Cadjee	Personne physique	1									4
306	Le Journal de l’Île de la Réunion	Média	3			Régional	Quotidien	Régional				4
307	Benjamin et Ariane de Rothschild	Personne physique	1	22								4
308	Lampsane Investissement SA	Personne morale	2									4
309	Slate.fr	Média	3			Site			Pure player			4
310	Jean-Sébastien Ferjou	Personne physique	1									4
311	Pierre Guyot	Personne physique	1									4
312	Gérard Lignac	Personne physique	1									4
313	Atlantico.fr	Média	3			Site			Pure player			4
314	Franck Julien	Personne physique	1									4
315	Edi Invest	Personne morale	2									4
316	Jean Christophe Tortora	Personne physique	1									4
317	Laurent Alexandre	Personne physique	1									4
318	Hima Groupe	Personne morale	2									4
319	La Tribune	Média	3			Site						4
320	i24 News	Média	3			Télévision						4
321	Elle	Média	3				Hebdomadaire	Féminin				4
322	Le Nouveau Magazine littéraire	Média	3			GPE	Mensuel					4
323	Madison Cox	Personne physique	1									4
324	Alain Weil	Personne physique	1	368								4
325	Groupe L’Opinon	Personne morale	2						Tehran	51.389	35.6892	4
326	Ken Fisher	Personne physique	1		oui							4
327	RMC Story	Média	3			Télévision			Gratuit			4
